Crop_Year,Annual_Rainfall,Fertilizer,Pesticide,N_SOIL,P_SOIL,K_SOIL,pH_SOIL,Crop_encoded,Season_encoded,State_encoded
2003,902.5,4998490.0,12120.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,20,2,7
2002,1629.1,38374484.5,101337.5,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,53,2,29
2003,867.6,5787459.58,14033.04,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,43,1,12
2018,1052.2,360570.6,778.05,155.25,16.650000000000002,214.01666666666665,6.391666666666667,15,1,9
2004,1122.8,25278105.48,48997.62,79.5,9.633333333333336,247.64545454545456,6.481818181818182,16,2,4
1998,2472.9,62244.0,182.7,113.625,8.825,166.5375,5.4375,27,2,26
1999,1484.3,21544390.0,54810.0,83.85,13.6,204.85,6.516666666666667,43,1,20
2002,890.8,9656.34,25.5,155.25,16.650000000000002,214.01666666666665,6.391666666666667,2,1,9
2004,2536.9,47262674.96,91611.24,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,40,0,2
2017,1129.5,12837027.84,30983.68,96.375,16.125,289.9888888888889,7.563888888888889,34,1,15
2007,740.4,75765730.6,90873.44,89.1,16.663636363636364,285.64,7.612727272727272,52,1,14
2007,1600.2,14732696.0,17670.4,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,40,3,3
2010,1096.0,87373.86,126.24,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,41,2,29
2008,895.0,203116.8,127.8,89.1,16.663636363636364,285.64,7.612727272727272,8,1,14
2008,1134.8,460159.68,289.53,141.1875,15.4375,160.54999999999998,5.6125,17,1,16
2019,1067.8,239345327.1,515590.19,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,53,2,7
2016,1151.1,18391532.5,42003.5,96.375,16.125,289.9888888888889,7.563888888888889,17,3,15
1997,1266.7,29393920.69,95745.67,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,46,4,12
2012,2050.2,141450.4,290.78,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,12,1,18
2016,1205.6,625260.0,1428.0,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,44,1,3
2011,1533.561905,150600.48,296.67,141.1875,15.4375,160.54999999999998,5.6125,12,1,16
2014,2015.7,380872.08,832.59,113.625,8.825,166.5375,5.4375,1,1,26
2015,940.7,4431744.15,9261.45,120.1923076923077,18.884615384615383,270.11538461538464,7.4,43,1,0
2008,1117.9,198825.6,125.1,79.5,9.633333333333336,247.64545454545456,6.481818181818182,26,1,4
2005,1316.2,5555054.16,9727.83,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,38,2,12
2005,516.9,15496422.16,27136.83,96.38636363636364,14.909090909090908,219.5090909090909,7.831818181818182,46,4,8
2011,1346.2,1731319.2,3410.55,83.85,13.6,204.85,6.516666666666667,39,5,20
2014,605.6,46614636.48,101900.04,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,24,1,7
2000,1907.7,674820.58,1787.24,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,29,1,29
2004,2518.0,5681566.28,11012.82,137.25,12.5,153.55,6.15,40,1,6
2000,1057.8,15206533.0,40274.0,96.375,16.125,289.9888888888889,7.563888888888889,38,1,15
2006,1434.5875,17113.14,29.48,117.625,22.5,241.4,7.275,43,2,21
2012,1309.8,1690769.6,3475.72,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,34,1,28
2008,1164.1,133442159.0,83961.09,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,24,1,12
2017,2664.8,13618.56,32.87,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,38,4,13
2003,1353.9,16929242.26,41048.88,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,25,2,3
2002,1105.8,1264696.53,3339.75,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,47,1,3
2000,1907.7,5368426.45,14218.1,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,16,2,29
2005,1765.9,140306.4,245.7,113.625,8.825,166.5375,5.4375,26,1,26
1999,2338.6,466865.87,1187.73,157.67307692307693,17.20769230769231,203.49615384615385,5.1038461538461535,15,4,1
2016,1959.8,554765.0,1267.0,136.125,9.975,204.4,5.2125,43,1,19
1997,661.2,13418970.0,43710.0,96.38636363636364,14.909090909090908,219.5090909090909,7.831818181818182,46,4,8
2009,585.8,282501.66,308.21,92.64,12.646666666666668,211.60533333333333,7.617333333333333,42,1,27
1999,1434.5875,14115.29,35.91,117.625,22.5,241.4,7.275,15,1,21
2012,1430.2,24020178.0,49378.35,83.85,13.6,204.85,6.516666666666667,27,3,20
2007,3095.2,11605.8,13.92,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,54,2,18
2003,1643.7,9756953.5,23658.0,79.5,9.633333333333336,247.64545454545456,6.481818181818182,24,1,4
2019,1217.7,54808272.48,118066.26,155.25,16.650000000000002,214.01666666666665,6.391666666666667,53,2,9
2017,868.2,472320.0,1140.0,120.1923076923077,18.884615384615383,270.11538461538464,7.4,39,2,0
2019,1422.3,7190045.36,15488.57,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,38,2,12
2002,933.2,1704.06,4.5,147.775,19.15,222.65,6.784999999999999,50,4,10
2015,747.9,13738.17,28.71,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,48,2,25
2008,944.6,16119749.76,10142.46,120.1923076923077,18.884615384615383,270.11538461538464,7.4,27,2,0
1998,962.7,928720.0,2726.0,89.1,16.663636363636364,285.64,7.612727272727272,20,2,14
2012,338.9,135720.0,279.0,99.17391304347828,17.08695652173913,255.6478260869565,7.739130434782608,25,2,22
2018,1419.1,473299.6,1021.3,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,10,4,12
2007,2154.1,5869466.6,7039.84,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,3,4,2
2012,924.1,15851643.6,32586.27,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,40,3,3
2011,890.5,72670176.0,143154.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,2,1,7
1999,1434.5875,1273.56,3.24,117.625,22.5,241.4,7.275,5,4,21
2013,1235.6,2739096.93,5118.39,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,15,4,12
1998,6552.7,391544.4,1149.27,138.75,15.25,161.16666666666666,5.141666666666667,49,4,17
1998,1332.5,7115082.0,20884.35,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,38,1,3
2011,887.6,52606975.68,103631.22,147.775,19.15,222.65,6.784999999999999,24,1,10
2001,1556.6,44894101.14,114290.28,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,39,2,29
2017,1279.1,377068.8,910.1,147.775,19.15,222.65,6.784999999999999,33,1,10
2002,2627.0,28401.0,75.0,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,50,4,18
2010,1297.0,961943.01,1389.84,120.1923076923077,18.884615384615383,270.11538461538464,7.4,32,2,0
2017,4472.3,703756.8,1698.6,138.75,15.25,161.16666666666666,5.141666666666667,26,1,17
2013,1069.9,22829.42,42.66,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,8,1,3
2016,902.8,189110.5,431.9,147.775,19.15,222.65,6.784999999999999,54,2,10
2001,1247.0,2664163.18,6782.36,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,36,2,3
2002,1105.8,8527116.24,22518.0,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,39,2,3
2010,1317.7,32088797.58,46362.72,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,47,2,12
2009,928.5,121227.96,132.26,97.22368421052632,17.86842105263158,247.7,7.605263157894737,48,4,24
1999,344.0,11867350.47,30191.13,96.38636363636364,14.909090909090908,219.5090909090909,7.831818181818182,20,1,8
2015,1572.6,169121.61,353.43,147.775,19.15,222.65,6.784999999999999,28,1,10
1999,1203.8,27729115.75,70544.25,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,53,2,12
2010,856.3,15679787.34,22654.56,89.1,16.663636363636364,285.64,7.612727272727272,23,2,14
2013,1062.3,6876568.08,12849.84,120.1923076923077,18.884615384615383,270.11538461538464,7.4,8,1,0
2012,1116.7,1658.8,3.41,147.775,19.15,222.65,6.784999999999999,51,1,10
2010,1317.7,667596.09,964.56,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,36,1,12
2018,585.5,4947100.0,10675.0,99.17391304347828,17.08695652173913,255.6478260869565,7.739130434782608,39,2,22
2012,1098.3,603.2,1.24,117.625,22.5,241.4,7.275,43,1,21
2015,1572.6,789.55,1.65,147.775,19.15,222.65,6.784999999999999,25,2,10
2007,2831.8,117658.8,141.12,113.625,8.825,166.5375,5.4375,52,1,26
2013,1348.7,3548240.93,6630.39,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,13,2,25
2007,1257.2,154623940.0,185456.0,96.375,16.125,289.9888888888889,7.563888888888889,1,1,15
2017,814.8,1586995.2,3830.4,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,44,2,7
2014,3484.4,678716.16,1483.68,138.75,15.25,161.16666666666666,5.141666666666667,26,1,17
2018,2012.6,207534900.0,447825.0,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,40,3,29
2017,1722.1,75571.2,182.4,136.125,9.975,204.4,5.2125,27,1,19
2002,1105.8,13321205.04,35178.0,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,22,2,3
2014,746.4,79857.84,174.57,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,19,1,25
2000,6258.8,8442.62,22.36,138.75,15.25,161.16666666666666,5.141666666666667,46,4,17
2018,1419.1,18568493.8,40067.65,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,20,1,12
2018,1350.3,58392.0,126.0,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,1,2,25
1998,2354.4,1992400.8,5848.14,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,9,4,2
2018,1521.4,36586967.4,78948.45,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,46,4,3
2017,2098.563636,63039290.88,152152.76,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,40,3,2
2011,861.9,29037079.2,57200.55,120.1923076923077,18.884615384615383,270.11538461538464,7.4,20,2,0
2000,1631.8,98170.0,260.0,136.125,9.975,204.4,5.2125,47,2,19
2015,1000.7,71533230.0,149490.0,89.1,16.663636363636364,285.64,7.612727272727272,36,2,14
2017,815.7,37313.28,90.06,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,19,1,25
2010,1095.2,5938598.61,8580.24,97.22368421052632,17.86842105263158,247.7,7.605263157894737,1,1,24
2017,868.2,1575029.76,3801.52,120.1923076923077,18.884615384615383,270.11538461538464,7.4,32,2,0
2016,1298.9,214243.5,489.3,79.5,9.633333333333336,247.64545454545456,6.481818181818182,37,1,4
2001,1035.8,79252880.0,201760.0,96.375,16.125,289.9888888888889,7.563888888888889,53,2,15
2016,1460.5,24114807.0,55074.6,83.85,13.6,204.85,6.516666666666667,27,3,20
2009,1225.9,467460.0,510.0,136.125,9.975,204.4,5.2125,1,1,19
2008,1164.1,15468202.56,9732.51,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,50,4,12
2013,706.8,99553.61,186.03,116.8181818181818,20.727272727272727,236.3,7.654545454545455,37,4,5
2016,1205.6,732075.25,1671.95,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,38,1,3
2013,1348.7,2670753.16,4990.68,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,43,2,25
2012,2187.6,9349.6,19.22,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,44,4,13
2012,1102.0,149292.0,306.9,110.20833333333331,10.8,163.25833333333333,6.033333333333334,46,4,11
2003,2213.7,4254358.36,10315.68,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,3,4,2
2013,1253.6,134819717.8,251929.71,110.20833333333331,10.8,163.25833333333333,6.033333333333334,40,5,11
2018,1693.9,1467585.6,3166.8,117.625,22.5,241.4,7.275,40,2,21
2018,1387.4,2011604.4,4340.7,96.375,16.125,289.9888888888889,7.563888888888889,33,3,15
2018,2169.1,399498.6,862.05,113.625,8.825,166.5375,5.4375,24,2,26
2002,800.8,13471256.99,35574.25,89.1,16.663636363636364,285.64,7.612727272727272,23,2,14
2015,2334.4,42319.88,88.44,113.625,8.825,166.5375,5.4375,45,1,26
2019,3119.2,391097.52,842.49,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,51,4,13
2004,1711.5,216680.0,420.0,136.125,9.975,204.4,5.2125,21,1,19
2016,1795.8,390174.5,891.1,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,4,2,29
2002,2516.3,112467.96,297.0,137.25,12.5,153.55,6.15,46,4,6
2006,1317.2,12387.87,21.34,79.5,9.633333333333336,247.64545454545456,6.481818181818182,11,1,4
2004,651.9,997594.72,1933.68,116.8181818181818,20.727272727272727,236.3,7.654545454545455,20,1,5
2016,1795.8,2106727.75,4811.45,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,17,2,29
2016,1298.9,2617510.0,5978.0,79.5,9.633333333333336,247.64545454545456,6.481818181818182,25,2,4
2005,1353.3,1491804.8,2612.4,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,34,1,28
2012,968.7,12214.8,25.11,120.1923076923077,18.884615384615383,270.11538461538464,7.4,45,2,0
1999,1484.3,363282990.0,924210.0,83.85,13.6,204.85,6.516666666666667,40,5,20
2003,826.0,1073438.1,2602.8,120.1923076923077,18.884615384615383,270.11538461538464,7.4,38,2,0
2012,2167.5,42147996.8,86643.76,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,39,2,2
2012,1176.7,18501652.0,38033.9,141.1875,15.4375,160.54999999999998,5.6125,40,1,16
2013,2043.5,50715.99,94.77,113.625,8.825,166.5375,5.4375,17,2,26
2005,2041.6,147501.6,258.3,139.5,15.800000000000002,266.53333333333336,5.416666666666667,4,2,23
2013,1939.9,185957907.6,347488.65,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,40,3,29
2008,1434.5875,1716.48,1.08,117.625,22.5,241.4,7.275,5,1,21
2001,666.5,33937799.0,86398.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,1,1,7
2000,723.3,13940.14,36.92,89.1,16.663636363636364,285.64,7.612727272727272,41,2,14
2014,1333.3,80008.8,174.9,136.125,9.975,204.4,5.2125,4,1,19
2019,1031.7,863265.76,1859.62,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,31,2,25
2001,1824.7,50625636.74,128881.48,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,40,0,2
2008,1539.0,3243575.04,2040.84,83.85,13.6,204.85,6.516666666666667,27,0,20
2004,4767.9,87105.36,168.84,138.75,15.25,161.16666666666666,5.141666666666667,1,1,17
2004,1434.5875,650.04,1.26,117.625,22.5,241.4,7.275,44,1,21
2009,928.5,1158054.24,1263.44,97.22368421052632,17.86842105263158,247.7,7.605263157894737,16,4,24
2006,2353.0,30778.11,53.02,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,11,1,18
2007,1924.3,1067.2,1.28,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,27,1,28
2010,2738.7,498.33,0.72,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,31,2,18
2012,1176.7,2771553.2,5697.49,141.1875,15.4375,160.54999999999998,5.6125,36,2,16
2013,1451.4,1517000.51,2834.73,89.1,16.663636363636364,285.64,7.612727272727272,52,2,14
2012,460.6,32090240.0,65968.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,39,2,7
2016,912.4,13222410.0,30198.0,97.22368421052632,17.86842105263158,247.7,7.605263157894737,7,4,24
2003,1430.3,954068.22,2313.36,147.775,19.15,222.65,6.784999999999999,4,2,10
2013,1735.4,730830.42,1365.66,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,37,2,28
2019,1194.7,187390.16,403.67,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,32,2,3
2005,1650.1,8604619.76,15068.13,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,24,1,29
2007,672.9,568284.0,681.6,92.64,12.646666666666668,211.60533333333333,7.617333333333333,11,1,27
2009,996.1,919961.28,1003.68,110.20833333333331,10.8,163.25833333333333,6.033333333333334,25,2,11
2008,1295.2,1474567.891,927.7902,110.20833333333331,10.8,163.25833333333333,6.033333333333334,39,2,11
2005,516.9,276137625.4,483563.22,96.38636363636364,14.909090909090908,219.5090909090909,7.831818181818182,53,2,8
2001,666.5,67814320.0,172640.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,40,1,7
2008,1117.9,434126.4,273.15,79.5,9.633333333333336,247.64545454545456,6.481818181818182,10,4,4
2013,1062.3,4729446.68,8837.64,120.1923076923077,18.884615384615383,270.11538461538464,7.4,20,1,0
2013,3642.6,125995.28,235.44,137.25,12.5,153.55,6.15,46,4,6
2018,1350.3,120434797.6,259877.8,93.74242424242424,19.848484848484848,290.56060606060606,7.724242424242425,40,2,25
2014,1899.0,1703583.6,3724.05,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,27,2,2
2014,605.6,3030974.88,6625.74,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,38,1,7
2012,1049.5,216398.0,444.85,89.1,16.663636363636364,285.64,7.612727272727272,51,4,14
2018,792.8,2067887.8,4462.15,92.64,12.646666666666668,211.60533333333333,7.617333333333333,31,3,27
2016,1795.8,80068527.5,182864.5,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,21,1,29
2017,868.2,13644380.16,32932.32,120.1923076923077,18.884615384615383,270.11538461538464,7.4,17,2,0
2012,968.7,1055600.0,2170.0,120.1923076923077,18.884615384615383,270.11538461538464,7.4,2,2,0
2013,706.8,2810330.5,5251.5,116.8181818181818,20.727272727272727,236.3,7.654545454545455,53,2,5
2003,867.6,31508105.44,76398.72,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,2,1,12
2017,800.0,15435417.6,37255.2,89.1,16.663636363636364,285.64,7.612727272727272,46,4,14
2015,2593.2,617428.1,1290.3,157.67307692307693,17.20769230769231,203.49615384615385,5.1038461538461535,53,2,1
2016,1959.8,812225.0,1855.0,136.125,9.975,204.4,5.2125,24,2,19
1998,2354.4,3020414.8,8865.59,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,46,4,2
2018,1515.5,2685545.4,5794.95,79.5,9.633333333333336,247.64545454545456,6.481818181818182,43,1,4
1997,927.5,333095.0,1085.0,120.1923076923077,18.884615384615383,270.11538461538464,7.4,1,2,0
2011,2585.486364,2021966.4,3983.1,139.5,15.800000000000002,266.53333333333336,5.416666666666667,40,1,23
2017,1475.8,1416.96,3.42,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,28,1,28
2015,1210.1,8344438.13,17438.19,83.85,13.6,204.85,6.516666666666667,24,0,20
1999,6200.3,2865.51,7.29,138.75,15.25,161.16666666666666,5.141666666666667,8,1,17
2017,814.8,454686.72,1097.44,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,33,1,7
